username,firstname,lastname,email,password,cohort1
cy.021,Vikram,Iyer,vikram.iyer@student.aicda.edu,AiCda2026!,cyber_students
cy.022,Aisha,Khan,aisha.khan@student.aicda.edu,AiCda2026!,cyber_students
cy.023,Tariq,Aziz,tariq.aziz@student.aicda.edu,AiCda2026!,cyber_students
cy.024,Yasmin,Farouk,yasmin.farouk@student.aicda.edu,AiCda2026!,cyber_students
cy.025,Sven,Eriksson,sven.eriksson@student.aicda.edu,AiCda2026!,cyber_students
cy.026,Astrid,Olsen,astrid.olsen@student.aicda.edu,AiCda2026!,cyber_students
cy.027,Mikhail,Sokolov,mikhail.sokolov@student.aicda.edu,AiCda2026!,cyber_students
cy.028,Nadia,Popov,nadia.popov@student.aicda.edu,AiCda2026!,cyber_students
cy.029,Aleks,Novak,aleks.novak@student.aicda.edu,AiCda2026!,cyber_students
cy.030,Ivana,Horvat,ivana.horvat@student.aicda.edu,AiCda2026!,cyber_students
cy.031,Ramses,El-Sayed,ramses.elsayed@student.aicda.edu,AiCda2026!,cyber_students
cy.032,Layan,Mansour,layan.mansour@student.aicda.edu,AiCda2026!,cyber_students
cy.033,Joon,Choi,joon.choi@student.aicda.edu,AiCda2026!,cyber_students
df.001,Sara,Ricci,sara.ricci@student.aicda.edu,AiCda2026!,forensics_students
df.002,Enzo,Greco,enzo.greco@student.aicda.edu,AiCda2026!,forensics_students
df.003,Chiara,Lombardi,chiara.lombardi@student.aicda.edu,AiCda2026!,forensics_students
df.004,Matteo,Fontana,matteo.fontana@student.aicda.edu,AiCda2026!,forensics_students
df.005,Alessia,Barbieri,alessia.barbieri@student.aicda.edu,AiCda2026!,forensics_students
df.006,Riccardo,Caruso,riccardo.caruso@student.aicda.edu,AiCda2026!,forensics_students
df.007,Sergio,Moretti,sergio.moretti@student.aicda.edu,AiCda2026!,forensics_students
df.008,Beatrice,Russo,beatrice.russo@student.aicda.edu,AiCda2026!,forensics_students
df.009,Tomas,Novak,tomas.novak@student.aicda.edu,AiCda2026!,forensics_students
df.010,Klara,Svoboda,klara.svoboda@student.aicda.edu,AiCda2026!,forensics_students
df.011,Petra,Dvorak,petra.dvorak@student.aicda.edu,AiCda2026!,forensics_students
df.012,Andre,Dias,andre.dias@student.aicda.edu,AiCda2026!,forensics_students
df.013,Beatriz,Almeida,beatriz.almeida@student.aicda.edu,AiCda2026!,forensics_students
df.014,Joao,Pinto,joao.pinto@student.aicda.edu,AiCda2026!,forensics_students
df.015,Catarina,Sousa,catarina.sousa@student.aicda.edu,AiCda2026!,forensics_students
df.016,Mehmet,Yilmaz,mehmet.yilmaz@student.aicda.edu,AiCda2026!,forensics_students
df.017,Elif,Demir,elif.demir@student.aicda.edu,AiCda2026!,forensics_students
df.018,Aylin,Kaya,aylin.kaya@student.aicda.edu,AiCda2026!,forensics_students
df.019,Naomi,Cohen,naomi.cohen@student.aicda.edu,AiCda2026!,forensics_students
df.020,Eli,Levi,eli.levi@student.aicda.edu,AiCda2026!,forensics_students
df.021,Rafael,Mendes,rafael.mendes@student.aicda.edu,AiCda2026!,forensics_students
df.022,Camila,Souza,camila.souza@student.aicda.edu,AiCda2026!,forensics_students
df.023,Mateusz,Kowalski,mateusz.kowalski@student.aicda.edu,AiCda2026!,forensics_students
df.024,Zofia,Nowak,zofia.nowak@student.aicda.edu,AiCda2026!,forensics_students
df.025,Erik,Lindholm,erik.lindholm@student.aicda.edu,AiCda2026!,forensics_students
df.026,Saga,Bergstrom,saga.bergstrom@student.aicda.edu,AiCda2026!,forensics_students
df.027,Aiko,Nakamura,aiko.nakamura@student.aicda.edu,AiCda2026!,forensics_students
df.028,Daichi,Yoshida,daichi.yoshida@student.aicda.edu,AiCda2026!,forensics_students
df.029,Selene,Marchetti,selene.marchetti@student.aicda.edu,AiCda2026!,forensics_students
df.030,Davide,Bruno,davide.bruno@student.aicda.edu,AiCda2026!,forensics_students
df.031,Esme,Laurent,esme.laurent@student.aicda.edu,AiCda2026!,forensics_students
df.032,Hugo,Bernard,hugo.bernard@student.aicda.edu,AiCda2026!,forensics_students
df.033,Yara,Costa,yara.costaprata@student.aicda.edu,AiCda2026!,forensics_students
